Subject,CommitId,Author,Date,Log message
moa,08495c4,Jesse Read,2016-02-05 15:59:11 +0100,code revision and refactor
moa,a266697,Albert Bifet,2018-12-09 10:49:29 +0100,Merge pull request #154 from henrygouk/adagrad-refactor
modernmt,01720294,Davide Caroselli,2017-04-12 20:24:49 +0200,StaticLM pruning + Trie model. Code refactoring and bugfixing.
modernmt,2452c3fd,Davide Caroselli,2019-05-14 15:55:37 +0200,Tokenization refactoring complete
modernmt,4095262c,Andrea Rossi,2017-03-29 14:59:26 +0200,started kafka topics refactoring
modernmt,4bd91561,Davide Caroselli,2018-06-06 14:34:15 +0200,Code refactoring
modernmt,6086c283,Davide Caroselli,2017-08-06 19:12:37 +0200,Refactoring of both LuceneTranslationMemory and LuceneAnalyzer for improved testing capabilities
modernmt,6095bbbd,Davide Caroselli,2017-10-30 13:57:28 +0100,Refactoring of training options
modernmt,66cf5732,Davide Caroselli,2016-02-24 12:02:54 +0100,Refactoring of model classes
modernmt,67bbf001,Andrea Rossi,2017-04-11 17:14:55 +0200,python refactoring for java processes
modernmt,81450de9,Davide Caroselli,2018-04-12 17:35:47 +0200,NeuralDecoder setup refactoring
modernmt,8c8613cb,Davide Caroselli,2017-04-11 11:06:54 +0200,Refactoring in ClusterNodeMain
modernmt,ac14f6a0,Davide Caroselli,2017-09-12 16:39:52 +0200,Training optimizer options refactoring
modernmt,aef7aa51,Davide Caroselli,2017-08-01 14:00:28 +0200,Refactoring of Pre/Post-processor completed: improved multi-thread efficiency
modernmt,c70cd779,Davide Caroselli,2019-05-13 15:38:22 +0200,Small code refactoring in python Decoder
modernmt,f91212f2,Davide Caroselli,2016-12-15 12:01:07 +0100,ModernMT cluster node start refactoring
Mutters,3e8615d,rabidgremlin,2016-07-25 09:48:12 +1200,Refactored into packages.
Mutters,e0d3227,rabidgremlin,2016-10-07 10:54:28 +1300,Code clean up and ink function refactor
neo4j-nlp,16a7c62,Alessandro Negro,2018-10-26 15:57:34 +0200,TextRank refactoring
neo4j-nlp,4ced422,Alessandro Negro,2018-05-04 12:55:22 +0200,refactoring on page rank
neuronix,4bfd7f2,Rainbow-MRX,2018-03-06 20:14:18 +0200,refactor some code
smile,0da619c4,Haifeng Li,2019-11-01 12:37:53 -0400,refactor hierarchical clustering
smile,18d566bc,Haifeng Li,2019-10-06 23:57:27 -0400,refactor decision tree
smile,19fcce1c,gael beck,2018-02-26 20:20:55 +0100,remove useless trait and refactor distances
smile,3a91d594,Haifeng Li,2019-11-22 10:48:05 -0500,refactor bigram/ngram collocation and keyword extraction
smile,b8f91800,Haifeng Li,2016-02-18 23:34:44 -0500,refactor readTable and readCsv
smile,bbb58e57,Haifeng Li,2019-10-09 23:38:27 -0400,refactor naive bayes
smile,d3e4afc4,Haifeng Li,2016-01-06 00:19:56 -0500,refactor cart and related algorithms
smile,d9857825,Haifeng Li,2016-02-18 23:09:59 -0500,refactor scala plot api
smile,e0b1093b,Haifeng Li,2019-11-03 23:12:12 -0500,refactor partition clustering
smile,e8590f83,Haifeng Li,2019-09-17 12:36:42 -0400,refactor GBT for classification
smile,f44655f6,Haifeng Li,2019-10-10 11:45:18 -0400,refactor rbf network for classification
submarine,96c8fb3,Xun Liu,2019-09-12 15:01:34 +0800,[SUBMARINE-182] Refactoring QueryResult class (#70)
tablesaw,1d4bff74,Larry White,2018-08-22 10:16:42 -0400,fix bug in performance test and slight refactoring in csv read
tablesaw,39b74735,Larry White,2018-07-31 15:47:11 -0400,refactoring of column type specific parsing into column types
tablesaw,46def085,Larry White,2018-08-02 09:13:18 -0400,"Refactored table copying, and duplicate dropping by moving work to the column type"
tablesaw,542db531,Agnieszka Paszek,2017-12-07 06:07:10 +0100,Refactor (#210)
Trainable_Segmentation,752235e,Ignacio Arganda Carreras,2010-12-06 12:10:25 -0500,Balanced Random Forest: refactored GiniFunction in order to increase the spped. The inner class AttributeClassPair is now extern and the comparator is static.
vespa,02a609771b,Tor Egge,2019-05-24 15:42:15 +0200,Refactor tagging of TermFieldMatchData regarding which features are needed by feature executors.
vespa,08cb105294,gjoranv,2017-07-19 12:12:21 +0200,Refactor LeafNodeVector
vespa,130cdfd5cc,Tor Egge,2016-11-09 15:24:47 +0000,Refactor buffertype and datastore to better handle extra data at start of each buffer.  Simplify dense tensor store. Change enum store base to calculate buffer size in proper virtual method in buffertype subclass.
vespa,15c2736314,Jon Bratseth,2019-10-17 11:13:51 +0200,Refactor: Skew computation independent of node prioritization
vespa,1a5a822bcb,toby,2017-05-22 13:41:53 +0200,Replace NodeList with the refactored NodeAllocation class
vespa,237865038f,Henning Baldersheim,2017-08-24 14:58:49 +0200,"- Use C++11 for loops. - Detangle some includes and include what you need. - Refactor to subclass to avoid code duplication. - Add config for compression too. - V1 up to 142, V2 above."
vespa,3a4ab17811,Geir Storli,2016-10-03 15:04:19 +0200,Refactor dense tensor product into generic function for applying two dense tensors together.
vespa,4ab17a2abf,Ilpo Ruotsalainen,2018-11-30 11:27:56 +0100,Refactor to extract a method.
vespa,54deccf618,Geir Storli,2016-10-04 15:53:50 +0200,Refactor dimension sum into generic reduce function for dense tensors.
vespa,6027e9d30a,Jon Bratseth,2016-09-02 16:24:09 +0200,Refactor away from test implementation in superclass antipattern
vespa,66058ea16d,Jon Bratseth,2018-09-17 13:41:51 +0200,Refactor: Don't reparse
vespa,66b8b33287,Jon Bratseth,2018-08-10 16:08:54 +0200,Refactor and remove duplication
vespa,68be372830,toby,2017-09-21 13:14:59 +0200,Refactor cost APIs and modelling - this is a breaking change
vespa,840ddab2e6,Jon Bratseth,2019-07-04 08:26:31 -0700,Refactor out solving without soft constraints
vespa,89d9cf538f,Bjørn Christian Seime,2017-06-19 12:49:17 +0200,Refactor logic for generating config into separate method
vespa,95f131db13,Jon Bratseth,2016-10-05 14:23:13 +0200,Refactoring only: Move direct dispatch decision to SearchCluster
vespa,b1f46fcd04,Lester Solbakken,2018-02-05 16:04:42 +0100,Refactor TensorFlow import and add dimension renaming.
vespa,c148daa705,Jon Bratseth,2016-10-04 11:29:36 +0200,Refactor test to avoid chaos and suffering
vespa,cf687abd43,Tor Brede Vekterli,2016-10-05 11:30:50 +0200,Rewrite and refactor core cluster controller state generation logic
vespa,cfb1ae9d80,Ola Aunrønning,2019-10-04 13:16:57 +0200,Refactoring
vespa,d3d97e192d,Ilpo Ruotsalainen,2018-11-29 16:09:40 +0100,Refactor for easier testing.
vespa,db83981097,Jon Marius Venstad,2020-01-25 21:05:30 +0100,Rename and refactor away code duplication
vespa,dc26f9d29a,Henning Baldersheim,2019-08-15 07:17:57 +0000,"Refactor, no semantic changes."
vespa,dc9e53f291,Arne Juul,2019-11-26 08:45:40 +0000,refactor and check with non-null tensor
vespa,ef8e4859e8,Jon Bratseth,2018-09-16 18:40:46 +0200,Refactor: Initialize all macros state at once
vespa,fc1fa20358,Tor Egge,2018-08-29 10:43:29 +0200,Refactor replacement of grouping expression attribute nodes.
weka-trunk,887ee521e,mhall,2007-02-27 03:42:49 +0000,Refactored hashKey out of DecisionTable into its own class. Reduces the number of dependencies for other classes that make use of hashKey (such as SimpleKMeans).
weka-trunk,ebf175aef,mhall,2007-02-27 03:43:36 +0000,Changes to reflect the refactoring of hashKey out of DecisionTable
